user,location,source,place,created_at,geo_enabled,friends_count,text,retweet_count,retweeted_status
AlpineFowl,,Twitter for Android,,2022-08-17 07:47:00,False,233,"@SRKCHENNAIFC @iamsrk Let time come,  you will see.
#BoycottPathanMovie 
#BoycottbollywoodForever",0,False
MohanPudutha,,Twitter Web App,,2022-08-17 07:46:44,False,115,"@taran_adarsh #AmirKhan we made it Flop 
#LalSinghChadha 
Now you will realise the power of #Hindus #Nationalist… https://t.co/L0l6UUHubZ",0,False
LeenaSheeba,BORN IN SRIHARIKOTA  AP ISRO,Twitter for Android,,2022-08-17 07:46:00,True,820,What Stopping CBI InSSRCase #BoycottbollywoodForever #BoycottPathanMovie #BoycottVikramVedha #boycottrakshabandhan… https://t.co/VB35Y5ob3T,2,False
Bebak_Vichar,India,Twitter for Android,,2022-08-17 07:45:57,True,594,@RVCJ_FB No One has ever called for #Boycott for #ArjunKapoor movies. Because use vaise bhi koi dekhne nhi jata.… https://t.co/zLcpNgp2Ci,0,False
Sarfaraz2104,,Twitter for Android,,2022-08-17 07:43:50,False,46,"Bollywood=Gutterwood
#Bollywood #BoycottbollywoodForever #BoycottBollywood #BoycottbollywoodCompletely… https://t.co/dsZBNCU4FZ",1,False
PraveenD4BJP,"Delhi, Darjeeling",Twitter for Android,,2022-08-17 07:43:39,True,811,"Please watch Vikram Vedhashala, free on YouTube and it's original not a remake. Avoid Bollywood… https://t.co/IVsFgeusqF",0,False
Nishita73070103,,Twitter for Android,,2022-08-17 07:43:28,False,19,"What Stopping CBI InSSRCase
#BoycottBrahmastra
#BoycottPathaan 
#BoycottbollywoodForever",0,False
RajeshkumarA777,"Hyderabad, India",Twitter for iPhone,,2022-08-17 07:43:16,False,178,@SSRMU1986TOF Definitely 1000% Ready #BoycottbollywoodForever some hero’s and heroines who are happy with other cou… https://t.co/29lqhggF1q,0,False
Bebak_Vichar,India,Twitter for Android,,2022-08-17 07:43:01,True,594,@taran_adarsh As we all know #Bollywood is not making any good movies and we North Indians love to watch… https://t.co/XDybkxK0zL,0,False
SSRMU1986TOF,Far away from milky galaxy 🌌✨,Twitter for Android,,2022-08-17 07:42:54,False,70,"@itsNitikaSingh 🤣😂🤣😂

#BoycottPathanMovie
#BoycottbollywoodForever 
#BoycottBramhastra 
#BoycottTiger3… https://t.co/si1T1AhBUO",3,False
EktVerma,,Twitter Web App,,2022-08-17 07:42:45,False,988,#Indian2 Bengalis want actually need to 'boycott' than the movies #Karthikeya2Hindi.#BoycottPathanMovie… https://t.co/5c14qZCwX7,1,False
avgoud,"HYDERABAD, TELANGANA ,INDIA",Twitter for iPhone,,2022-08-17 07:42:44,True,1608,@khan_srk786 bhai  I think better choose #china or something else Na ? You will get better liberty what about Afgha… https://t.co/OyzOJvgHPN,0,False
itsmahashay,indore,Twitter for Android,"Place(_api=<tweepy.api.API object at 0x0000022ADC177070>, id='159a141cad06f102', url='https://api.twitter.com/1.1/geo/id/159a141cad06f102.json', place_type='admin', name='Madhya Pradesh', full_name='Madhya Pradesh, India', country_code='IN', country='India', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000022ADC177070>, type='Polygon', coordinates=[[[74.030686, 21.073255], [82.809772, 21.073255], [82.809772, 26.868535], [74.030686, 26.868535]]]), attributes={})",2022-08-17 07:42:07,True,394,"He's got a game plan, won't make a movie, How will you Boycott then .. tell tell .... Arjun Kapoor, Big Brain n Gre… https://t.co/KXWxXnFWwU",3,False
RAJAT83INDIAN,,Twitter for Android,,2022-08-17 07:41:24,False,1975,"Don't tag that ""Useless"" &amp; ""Nobody"" Arjun Kapoor and make him revelent and give him unnecessary limelight

Pls don'… https://t.co/nwYxrzmVJa",0,False
Nee93388720,,Twitter Web App,,2022-08-17 07:41:04,False,66,@moongazeerr #BoycottbollywoodForever has done this to him. Bollywood is getting the shivers.,0,False
RamBheem14,,Twitter Web App,,2022-08-17 07:40:34,False,0,"Now Bollywood started to threaten public for Boycotting
they keep themselves over country. 
Boycott is our Public R… https://t.co/208Phsd8ix",0,False
RajeshkumarA777,"Hyderabad, India",Twitter for iPhone,,2022-08-17 07:40:29,False,178,@NupurReal_ #BoycottbollywoodForever some hero’s and heroines who are happy with other country #BoycottAliaBhatt… https://t.co/BCDaxEz9mg,0,False
